Date,22 KARAT Gold,21 KARAT Gold,18 KARAT Gold,TRADITIONAL Gold
28:October:2024,12170,11617,9957,8181
29:October:2024,12170,11617,9957,8181
30:October:2024,12170,11617,9957,8181
31:October:2024,12305,11746,10068,8275
01:November:2024,12305,11746,10068,8275
02:November:2024,12305,11746,10068,8275
04:November:2024,12305,11746,10068,8275
05:November:2024,12188,11634,9972,8194
06:November:2024,12188,11634,9972,8194
07:November:2024,12188,11634,9972,8194
08:November:2024,11892,11351,9730,7987
09:November:2024,11892,11351,9730,7987
10:November:2024,11892,11351,9730,7987
11:November:2024,11892,11351,9730,7987
12:November:2024,11892,11351,9730,7987
13:November:2024,11676,11145,9553,7837
14:November:2024,11676,11145,9553,7837
15:November:2024,11532,11008,9436,7736
16:November:2024,11532,11008,9436,7736
17:November:2024,11532,11008,9436,7736
